,scores,avg_rwds
0,0.0,0.57
1,-1.0,0.58
2,2.0,0.59
3,1.0,0.6
4,2.0,0.63
5,-3.0,0.61
6,-1.0,0.64
7,-3.0,0.66
8,-1.0,0.7
9,1.0,0.72
10,-1.0,0.75
11,2.0,0.79
12,-1.0,0.8
13,0.0,0.87
14,1.0,0.89
15,-2.0,0.89
16,0.0,0.95
17,0.0,0.98
18,-1.0,0.99
19,2.0,1.01
20,-1.0,1.04
21,0.0,1.12
22,0.0,1.17
23,-2.0,1.21
24,0.0,1.26
25,0.0,1.28
26,1.0,1.3
27,-1.0,1.32
28,0.0,1.33
29,0.0,1.37
30,0.0,1.41
31,1.0,1.46
32,0.0,1.48
33,-1.0,1.48
34,1.0,1.5
35,0.0,1.54
36,1.0,1.57
37,1.0,1.6
38,0.0,1.63
39,1.0,1.66
40,-1.0,1.7
41,2.0,1.78
42,1.0,1.78
43,-1.0,1.83
44,0.0,1.83
45,-1.0,1.88
46,0.0,1.97
47,1.0,2.0
48,-1.0,2.02
49,1.0,2.05
50,1.0,2.06
51,0.0,2.07
52,3.0,2.06
53,2.0,2.07
54,0.0,2.04
55,2.0,2.11
56,0.0,2.17
57,-1.0,2.17
58,2.0,2.21
59,-1.0,2.21
60,2.0,2.3
61,0.0,2.32
62,2.0,2.33
63,1.0,2.34
64,0.0,2.33
65,2.0,2.34
66,0.0,2.37
67,1.0,2.4
68,2.0,2.44
69,2.0,2.44
70,4.0,2.51
71,-1.0,2.54
72,1.0,2.54
73,1.0,2.6
74,0.0,2.63
75,1.0,2.64
76,-1.0,2.7
77,3.0,2.76
78,1.0,2.79
79,1.0,2.86
80,0.0,2.88
81,4.0,2.94
82,-2.0,2.97
83,1.0,3.08
84,3.0,3.09
85,6.0,3.1
86,1.0,3.07
87,2.0,3.11
88,0.0,3.11
89,0.0,3.16
90,3.0,3.21
91,1.0,3.22
92,2.0,3.27
93,1.0,3.29
94,3.0,3.38
95,0.0,3.39
96,-1.0,3.43
97,1.0,3.52
98,-1.0,3.5
99,4.0,3.57
100,1.0,3.62
101,0.0,3.66
102,3.0,3.76
103,4.0,3.76
104,0.0,3.79
105,0.0,3.85
106,1.0,3.92
107,1.0,3.97
108,1.0,4.03
109,4.0,4.06
110,3.0,4.06
111,3.0,4.16
112,6.0,4.22
113,2.0,4.18
114,1.0,4.24
115,4.0,4.31
116,3.0,4.29
117,1.0,4.34
118,1.0,4.38
119,5.0,4.47
120,7.0,4.45
121,5.0,4.46
122,4.0,4.48
123,3.0,4.48
124,2.0,4.5
125,2.0,4.54
126,3.0,4.6
127,0.0,4.63
128,4.0,4.68
129,4.0,4.69
130,5.0,4.77
131,3.0,4.8
132,0.0,4.82
133,1.0,4.87
134,5.0,4.95
135,3.0,4.95
136,4.0,5.05
137,4.0,5.11
138,3.0,5.15
139,5.0,5.22
140,7.0,5.24
141,2.0,5.23
142,6.0,5.33
143,-1.0,5.28
144,5.0,5.4
145,8.0,5.41
146,3.0,5.41
147,3.0,5.44
148,2.0,5.55
149,2.0,5.63
150,2.0,5.69
151,-1.0,5.76
152,4.0,5.83
153,-1.0,5.87
