,0
0,0.0
1,-3.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,0.0
8,1.0
9,1.0
10,0.0
11,1.0
12,1.0
13,0.0
14,-2.0
15,0.0
16,0.0
17,-1.0
18,0.0
19,-1.0
20,-1.0
21,2.0
22,2.0
23,-2.0
24,2.0
25,2.0
26,-1.0
27,1.0
28,0.0
29,2.0
30,1.0
31,-1.0
32,-2.0
33,0.0
34,0.0
35,0.0
36,-1.0
37,0.0
38,2.0
39,0.0
40,0.0
41,1.0
42,-1.0
43,2.0
44,2.0
45,-2.0
46,1.0
47,1.0
48,0.0
49,0.0
50,1.0
51,2.0
52,0.0
53,-1.0
54,1.0
55,0.0
56,5.0
57,-1.0
58,3.0
59,1.0
60,-2.0
61,2.0
62,2.0
63,1.0
64,0.0
65,-1.0
66,0.0
67,1.0
68,0.0
69,0.0
70,0.0
71,2.0
72,1.0
73,-1.0
74,2.0
75,1.0
76,4.0
77,0.0
78,2.0
79,0.0
80,1.0
81,-1.0
82,1.0
83,3.0
84,3.0
85,5.0
86,0.0
87,0.0
88,2.0
89,1.0
90,0.0
91,4.0
92,0.0
93,2.0
94,-1.0
95,2.0
96,6.0
97,2.0
98,-1.0
99,4.0
100,0.0
101,3.0
102,1.0
103,4.0
104,1.0
105,0.0
106,5.0
107,1.0
108,4.0
109,3.0
110,2.0
111,2.0
112,1.0
113,3.0
114,2.0
115,5.0
116,1.0
117,0.0
118,3.0
119,2.0
120,2.0
121,1.0
122,0.0
123,-1.0
124,2.0
125,3.0
126,2.0
127,2.0
128,2.0
129,4.0
130,7.0
131,1.0
132,0.0
133,2.0
134,0.0
135,2.0
136,2.0
137,3.0
138,1.0
139,1.0
140,0.0
141,7.0
142,1.0
143,4.0
144,0.0
145,5.0
146,2.0
147,3.0
148,4.0
149,3.0
150,1.0
151,7.0
152,9.0
153,-1.0
154,5.0
155,0.0
156,2.0
157,3.0
158,5.0
159,1.0
160,3.0
161,5.0
162,5.0
163,7.0
164,5.0
165,1.0
166,1.0
167,5.0
168,6.0
169,3.0
170,6.0
171,3.0
172,9.0
173,1.0
174,3.0
175,2.0
176,1.0
177,6.0
178,5.0
179,4.0
180,2.0
181,8.0
182,7.0
183,5.0
184,6.0
185,4.0
186,5.0
187,7.0
188,-3.0
189,6.0
190,0.0
191,6.0
192,4.0
193,9.0
194,6.0
195,7.0
196,9.0
197,2.0
198,9.0
199,8.0
200,9.0
201,4.0
202,4.0
203,3.0
204,9.0
205,0.0
206,6.0
207,9.0
208,2.0
209,5.0
210,8.0
211,10.0
212,7.0
213,7.0
214,7.0
215,4.0
216,6.0
217,13.0
218,2.0
219,4.0
220,11.0
221,2.0
222,3.0
223,6.0
224,7.0
225,7.0
226,5.0
227,10.0
228,5.0
229,6.0
230,8.0
231,1.0
232,9.0
233,7.0
234,5.0
235,9.0
236,2.0
237,5.0
238,4.0
239,9.0
240,11.0
241,9.0
242,8.0
243,11.0
244,4.0
245,8.0
246,11.0
247,7.0
248,6.0
249,9.0
250,12.0
251,16.0
252,0.0
253,7.0
254,6.0
255,2.0
256,4.0
257,8.0
258,8.0
259,3.0
260,7.0
261,10.0
262,3.0
263,8.0
264,9.0
265,6.0
266,8.0
267,7.0
268,8.0
269,9.0
