,scores,avg_rwds
0,0.0,0.32
1,0.0,0.36
2,2.0,0.36
3,0.0,0.38
4,1.0,0.4
5,1.0,0.42
6,1.0,0.43
7,-1.0,0.42
8,1.0,0.44
9,-1.0,0.45
10,-1.0,0.51
11,-2.0,0.53
12,0.0,0.57
13,1.0,0.57
14,0.0,0.6
15,0.0,0.64
16,0.0,0.67
17,-1.0,0.68
18,1.0,0.73
19,0.0,0.75
20,-1.0,0.75
21,1.0,0.77
22,-1.0,0.8
23,0.0,0.88
24,0.0,0.92
25,-1.0,0.93
26,1.0,0.92
27,0.0,0.96
28,0.0,0.98
29,3.0,0.99
30,0.0,0.99
31,0.0,0.99
32,-3.0,1.05
33,3.0,1.1
34,2.0,1.08
35,1.0,1.07
36,0.0,1.13
37,-2.0,1.13
38,-2.0,1.18
39,1.0,1.23
40,-1.0,1.24
41,1.0,1.28
42,1.0,1.29
43,2.0,1.3
44,2.0,1.29
45,0.0,1.29
46,-1.0,1.34
47,1.0,1.34
48,3.0,1.37
49,-1.0,1.36
50,1.0,1.42
51,3.0,1.45
52,1.0,1.48
53,1.0,1.56
54,2.0,1.58
55,-1.0,1.57
56,1.0,1.58
57,0.0,1.6
58,0.0,1.62
59,0.0,1.7
60,0.0,1.73
61,0.0,1.81
62,-2.0,1.81
63,-1.0,1.85
64,-2.0,1.85
65,0.0,1.92
66,1.0,1.96
67,1.0,1.99
68,1.0,2.02
69,2.0,2.03
70,1.0,2.03
71,0.0,2.06
72,1.0,2.14
73,-1.0,2.13
74,0.0,2.21
75,1.0,2.27
76,2.0,2.34
77,-1.0,2.37
78,1.0,2.45
79,0.0,2.46
80,0.0,2.48
81,0.0,2.55
82,5.0,2.64
83,0.0,2.6
84,0.0,2.65
85,0.0,2.68
86,-1.0,2.75
87,0.0,2.79
88,-1.0,2.84
89,1.0,2.93
90,1.0,2.98
91,0.0,3.03
92,2.0,3.09
93,4.0,3.09
94,0.0,3.12
95,-1.0,3.16
96,0.0,3.22
97,0.0,3.27
98,-1.0,3.29
99,0.0,3.4
100,4.0,3.44
101,0.0,3.43
102,4.0,3.43
103,2.0,3.46
104,3.0,3.51
105,2.0,3.52
106,0.0,3.57
107,1.0,3.63
108,2.0,3.69
109,5.0,3.7
110,1.0,3.68
111,2.0,3.73
112,0.0,3.77
113,4.0,3.84
114,4.0,3.89
115,3.0,3.94
116,1.0,4.04
117,4.0,4.05
118,3.0,4.05
119,0.0,4.06
120,1.0,4.12
121,4.0,4.16
122,7.0,4.2
123,4.0,4.21
124,1.0,4.21
125,-2.0,4.28
126,5.0,4.34
127,2.0,4.36
128,1.0,4.41
129,3.0,4.47
130,0.0,4.49
131,6.0,4.56
132,2.0,4.58
133,1.0,4.61
134,1.0,4.75
135,7.0,4.76
136,0.0,4.8
137,3.0,4.89
138,3.0,4.94
139,2.0,4.95
140,3.0,4.95
141,2.0,4.98
