,scores,avg_rwds
0,0.0,0.9
1,0.0,0.96
2,-1.0,0.97
3,-1.0,1.0
4,-2.0,1.09
5,0.0,1.14
6,1.0,1.16
7,0.0,1.19
8,1.0,1.21
9,-1.0,1.19
10,-1.0,1.23
11,1.0,1.26
12,0.0,1.27
13,-1.0,1.3
14,0.0,1.39
15,-2.0,1.47
16,0.0,1.51
17,2.0,1.54
18,0.0,1.57
19,0.0,1.6
20,1.0,1.68
21,2.0,1.67
22,-1.0,1.66
23,1.0,1.69
24,1.0,1.69
25,0.0,1.73
26,-1.0,1.75
27,1.0,1.81
28,1.0,1.82
29,0.0,1.85
30,-2.0,1.86
31,0.0,1.95
32,-1.0,2.01
33,3.0,2.07
34,-1.0,2.11
35,2.0,2.16
36,1.0,2.17
37,3.0,2.18
38,0.0,2.16
39,3.0,2.18
40,2.0,2.16
41,0.0,2.18
42,1.0,2.23
43,1.0,2.28
44,0.0,2.28
45,2.0,2.35
46,1.0,2.4
47,3.0,2.45
48,0.0,2.43
49,2.0,2.49
50,0.0,2.51
51,2.0,2.59
52,1.0,2.67
53,3.0,2.7
54,0.0,2.72
55,2.0,2.78
56,0.0,2.83
57,0.0,2.89
58,1.0,2.93
59,2.0,2.95
60,0.0,2.94
61,0.0,2.98
62,3.0,3.07
63,3.0,3.11
64,0.0,3.11
65,-2.0,3.2
66,2.0,3.27
67,-1.0,3.3
68,2.0,3.36
69,2.0,3.39
70,1.0,3.41
71,0.0,3.47
72,0.0,3.53
73,2.0,3.6
74,1.0,3.66
75,1.0,3.68
76,4.0,3.72
77,-1.0,3.75
78,1.0,3.77
79,0.0,3.83
80,2.0,3.89
81,2.0,3.93
82,0.0,3.99
83,0.0,4.04
84,2.0,4.11
85,0.0,4.08
86,4.0,4.12
87,2.0,4.16
88,2.0,4.19
89,2.0,4.2
90,3.0,4.22
91,4.0,4.27
92,2.0,4.29
93,2.0,4.36
94,1.0,4.44
95,3.0,4.47
96,2.0,4.5
97,4.0,4.61
98,3.0,4.63
99,0.0,4.66
100,6.0,4.72
101,1.0,4.73
102,2.0,4.8
103,8.0,4.84
104,3.0,4.8
105,2.0,4.85
106,4.0,4.9
107,2.0,4.94
108,-1.0,5.02
109,3.0,5.09
110,2.0,5.12
111,2.0,5.13
112,3.0,5.19
113,8.0,5.18
114,8.0,5.21
115,2.0,5.24
116,3.0,5.33
117,5.0,5.36
118,3.0,5.42
119,8.0,5.49
120,0.0,5.51
121,1.0,5.59
122,2.0,5.63
123,1.0,5.71
